run_id,condition,query_entity_idx,max_logprob_token,max_logprob,a1_token,a1_logprob,a2_token,a2_logprob,correct_answer
0,control,0, H,-0.8114078044891357, H,-0.8114078044891357, Manila,-3.782609701156616,a1
0,attribute,0, H,-0.865349531173706, H,-0.865349531173706, Manila,-6.40562629699707,a1
0,entity,0, H,-1.2935402393341064, H,-1.2935402393341064, Manila,-3.7367842197418213,a1
0,both,0, H,-1.2935402393341064, H,-1.2935402393341064, Manila,-3.7367842197418213,a1
0,control,1, Manila,-0.37430477142333984, H,-6.2020978927612305, Manila,-0.37430477142333984,a2
0,attribute,1, Man,-2.170720100402832, H,-5.362915992736816, Manila,-2.824265480041504,a2
0,entity,1, Manila,-0.9178923964500427, H,-5.376516342163086, Manila,-0.9178923964500427,a2
0,both,1, Manila,-0.9178923964500427, H,-5.376516342163086, Manila,-0.9178923964500427,a2
1,control,0, Bel,-0.4497957229614258, Bel,-0.4497957229614258, Islamabad,-5.226884841918945,a1
1,attribute,0, Bel,-2.0156562328338623, Bel,-2.0156562328338623, Islamabad,-5.429403305053711,a1
1,entity,0, Bel,-0.5774718523025513, Bel,-0.5774718523025513, Islamabad,-5.234927177429199,a1
1,both,0, Bel,-0.5774718523025513, Bel,-0.5774718523025513, Islamabad,-5.234927177429199,a1
1,control,1, Islamabad,-0.4838595390319824, Bel,-5.722594738006592, Islamabad,-0.4838595390319824,a2
1,attribute,1, Islamabad,-0.9770264625549316, Bel,-6.508584499359131, Islamabad,-0.9770264625549316,a2
1,entity,1, Islamabad,-0.8761687874794006, Bel,-4.19158411026001, Islamabad,-0.8761687874794006,a2
1,both,1, Islamabad,-0.8761687874794006, Bel,-4.19158411026001, Islamabad,-0.8761687874794006,a2
2,control,0, Damascus,-0.4575626254081726, Damascus,-0.4575626254081726, L,-6.703661918640137,a1
2,attribute,0, ______,-2.278434991836548, Damascus,-3.6607344150543213, L,-4.246912002563477,a1
2,entity,0, Damascus,-0.5559179186820984, Damascus,-0.5559179186820984, L,-5.666487693786621,a1
2,both,0, Damascus,-0.5559179186820984, Damascus,-0.5559179186820984, L,-5.666487693786621,a1
2,control,1, L,-0.2887069880962372, Damascus,-10.315898895263672, L,-0.2887069880962372,a2
2,attribute,1, L,-0.1478762924671173, Damascus,-12.266763687133789, L,-0.1478762924671173,a2
2,entity,1, L,-0.19106166064739227, Damascus,-8.79522705078125, L,-0.19106166064739227,a2
2,both,1, L,-0.19106166064739227, Damascus,-8.79522705078125, L,-0.19106166064739227,a2
3,control,0, Beirut,-0.6013428568840027, Beirut,-0.6013428568840027, Manila,-4.155402660369873,a1
3,attribute,0, ______,-2.659531354904175, Beirut,-3.4884583950042725, Manila,-5.959464073181152,a1
3,entity,0, Beirut,-0.473427951335907, Beirut,-0.473427951335907, Manila,-4.43043327331543,a1
3,both,0, Beirut,-0.473427951335907, Beirut,-0.473427951335907, Manila,-4.43043327331543,a1
3,control,1, Manila,-0.5239436030387878, Beirut,-6.328963756561279, Manila,-0.5239436030387878,a2
3,attribute,1, Man,-1.7837717533111572, Beirut,-7.541031837463379, Manila,-3.1132729053497314,a2
3,entity,1, Manila,-1.3602277040481567, Beirut,-3.6042871475219727, Manila,-1.3602277040481567,a2
3,both,1, Manila,-1.3602277040481567, Beirut,-3.6042871475219727, Manila,-1.3602277040481567,a2
4,control,0, Mont,-0.5093683004379272, Mont,-0.5093683004379272, Abu,-7.787439823150635,a1
4,attribute,0, Mont,-1.676316499710083, Mont,-1.676316499710083, Abu,-7.373879432678223,a1
4,entity,0, Mont,-0.5022420883178711, Mont,-0.5022420883178711, Abu,-8.095464706420898,a1
4,both,0, Mont,-0.5022420883178711, Mont,-0.5022420883178711, Abu,-8.095464706420898,a1
4,control,1, Abu,-1.2008930444717407, Mont,-5.103755474090576, Abu,-1.2008930444717407,a2
4,attribute,1, Abu,-1.8147540092468262, Mont,-6.356119632720947, Abu,-1.8147540092468262,a2
4,entity,1, Uruguay,-1.995786190032959, Mont,-3.4334263801574707, Abu,-2.3129420280456543,a2
4,both,1, Uruguay,-1.995786190032959, Mont,-3.4334263801574707, Abu,-2.3129420280456543,a2
5,control,0, U,-0.8066613674163818, U,-0.8066613674163818, Oslo,-5.958532333374023,a1
5,attribute,0, U,-1.7352138757705688, U,-1.7352138757705688, Oslo,-6.818826198577881,a1
5,entity,0, U,-0.6612840294837952, U,-0.6612840294837952, Oslo,-5.61066198348999,a1
5,both,0, U,-0.6612840294837952, U,-0.6612840294837952, Oslo,-5.61066198348999,a1
5,control,1, Oslo,-0.5132486820220947, U,-6.631657600402832, Oslo,-0.5132486820220947,a2
5,attribute,1,"

",-2.3212850093841553, U,-7.139749526977539, Oslo,-3.2195003032684326,a2
