run_id,seed,task_num,task_division,n_samples,min_class_count,max_class_count,mean_class_count,class_trn_acc,class_val_acc,cl_loss,actn_loss,actn_acc,emd,row_emd,cross_cl_loss,cross_actn_loss,cross_actn_acc,cross_emd,cross_row_emd,mtx_type,n_epochs,lr,cl_eps,shuffle_empty,method,incl_extra,calc_loss_in_aligned_basis,detach_cl_vecs,cl_1d,cl_loss_type,early_stop_patience,fig_every,rot_dtype,incl_cl_loss,incl_actn_loss,distinct_classifiers,extra_dims,dupl_rank,zero_rank,cov_strength,n_samples_per_class,mask_dims
1764031796.5585494,11111,0,inner_square,400,100,100,100.0,1.0,1.0,0.0007484444649890065,0.14215709269046783,1.0,4.259138107299805,0.0074667856097221375,0.009337390772998333,0.16981498897075653,0.9925000071525574,3.593930721282959,0.004999138880521059,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,True,False,False,16,0,0,0,100,1
1764031796.5585494,11111,1,inner_square,400,100,100,100.0,1.0,1.0,0.24570952355861664,0.16322767734527588,0.9950000047683716,3.5718345642089844,0.008130070753395557,0.027632160112261772,0.1801169514656067,0.9725000262260437,4.294955253601074,0.047539714723825455,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,True,False,False,16,0,0,0,100,1
1764031821.097285,11111,0,og_noholdouts,1000,100,100,100.0,1.0,1.0,0.09865003079175949,0.06965257972478867,1.0,3.5737555027008057,0.004541399888694286,0.005697399377822876,0.068826824426651,1.0,3.49920654296875,0.009660877287387848,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,True,False,False,16,0,0,0,100,1
1764031821.097285,11111,1,og_noholdouts,1000,100,100,100.0,1.0,1.0,0.11465398222208023,0.0678519755601883,1.0,3.4970784187316895,0.009482473134994507,0.005303483456373215,0.0687800794839859,1.0,3.571767807006836,0.004214443266391754,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,True,False,False,16,0,0,0,100,1
1764031845.8969443,11111,0,og_holdouts,800,100,100,100.0,0.999218761920929,1.0,0.1307847797870636,0.0834251344203949,1.0,3.717165231704712,0.01580573059618473,0.006600129883736372,0.11538174003362656,0.9950000047683716,3.7180237770080566,0.010718995705246925,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,True,False,False,16,0,0,0,100,1
1764031845.8969443,11111,1,og_holdouts,800,100,100,100.0,0.999218761920929,1.0,0.0006859496934339404,0.09954041242599487,0.9987499713897705,3.706355571746826,0.007291911169886589,0.004892636556178331,0.07115750759840012,1.0,3.717038154602051,0.012327051721513271,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,True,False,False,16,0,0,0,100,1
1764031869.3872967,11111,0,xor,200,100,100,100.0,1.0,1.0,0.0004815779102500528,0.00673519866541028,1.0,4.035894393920898,0.0007394172134809196,0.0034758218098431826,0.0636228695511818,1.0,3.4455766677856445,0.0011550078634172678,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,True,False,False,16,0,0,0,100,1
1764031869.3872967,11111,1,xor,200,100,100,100.0,1.0,1.0,0.0004640743136405945,0.06346973031759262,1.0,3.4402809143066406,0.0007646499434486032,0.00370973302051425,0.006909046322107315,1.0,4.040201187133789,0.0009971823310479522,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,True,False,False,16,0,0,0,100,1
1764031890.3138304,11111,0,inner_square,400,100,100,100.0,1.0,1.0,0.26272329688072205,0.10825718194246292,1.0,8.225263595581055,0.23004603385925293,0.7334995865821838,0.24675169587135315,0.9300000071525574,6.4886369705200195,0.14049392938613892,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,False,True,False,16,0,0,0,100,1
1764031890.3138304,11111,1,inner_square,400,100,100,100.0,1.0,1.0,0.36583319306373596,0.13171455264091492,1.0,4.9335174560546875,0.06314374506473541,0.23451225459575653,0.19761478900909424,0.9474999904632568,5.575005531311035,0.1147889718413353,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,False,True,False,16,0,0,0,100,1
1764031909.4424288,11111,0,og_noholdouts,1000,100,100,100.0,1.0,1.0,1.7720723152160645,0.10556008666753769,1.0,3.8210723400115967,0.05443572998046875,3.7441036701202393,0.10741176456212997,0.9929999709129333,3.7347614765167236,0.05659542232751846,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,False,True,False,16,0,0,0,100,1
1764031909.4424288,11111,1,og_noholdouts,1000,100,100,100.0,1.0,1.0,0.31926319003105164,0.08314052224159241,1.0,4.247241973876953,0.04458622634410858,0.6556811928749084,0.09080279618501663,0.9959999918937683,4.3075337409973145,0.04267435520887375,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,False,True,False,16,0,0,0,100,1
1764031928.112662,11111,0,og_holdouts,800,100,100,100.0,0.999218761920929,1.0,1.1653650999069214,0.08548951894044876,1.0,4.223945140838623,0.03571701422333717,2.2257001399993896,0.12486450374126434,0.9900000095367432,4.313082695007324,0.03637939691543579,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,False,True,False,16,0,0,0,100,1
1764031928.112662,11111,1,og_holdouts,800,100,100,100.0,0.999218761920929,1.0,0.1273878514766693,0.10287376493215561,1.0,4.261841297149658,0.016508594155311584,0.35908275842666626,0.07092191278934479,1.0,4.181486129760742,0.018290776759386063,linear,3000,0.01,100,False,mean,False,False,True,True,both,600,inf,float,False,True,False,16,0,0,0,100,1
