run_id,seed,task_num,task_division,n_samples,min_class_count,max_class_count,mean_class_count,class_trn_acc,class_val_acc,cl_loss,actn_loss,actn_acc,emd,row_emd,cross_cl_loss,cross_actn_loss,cross_actn_acc,cross_emd,cross_row_emd,mtx_type,n_epochs,lr,cl_eps,shuffle_empty,method,incl_extra,calc_loss_in_aligned_basis,detach_cl_vecs,cl_1d,cl_loss_type,early_stop_patience,incl_cl_loss,incl_actn_loss,extra_dims,dupl_rank,zero_rank,cov_strength,n_samples_per_class,mask_dims
1763510883.144578,11111,0,inner_square,400,100,100,100.0,1.0,1.0,0.005698437336832285,0.31625109910964966,1.0,0.005439816042780876,0.005439818371087313,0.01635267771780491,0.3726438283920288,1.0,0.001988048432394862,0.001988049130886793,linear,3000,0.05,1,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763510883.144578,11111,1,inner_square,400,100,100,100.0,1.0,1.0,0.21509261429309845,0.3715524971485138,1.0,0.00234157033264637,0.0023415698669850826,0.014532442204654217,0.31752386689186096,1.0,0.005319963209331036,0.00531996414065361,linear,3000,0.05,1,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763510974.0137117,11111,0,original,800,100,100,100.0,1.0,1.0,0.13087378442287445,0.06984720379114151,1.0,0.010960398241877556,0.010960398241877556,0.014856643043458462,0.07035745680332184,1.0,0.008130625821650028,0.008130629546940327,linear,3000,0.05,1,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763510974.0137117,11111,1,original,800,100,100,100.0,1.0,1.0,0.005549967288970947,0.07083743065595627,1.0,0.005962352268397808,0.005962354131042957,0.014400791376829147,0.06972251087427139,1.0,0.011398866772651672,0.011398866772651672,linear,3000,0.05,1,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511056.3225832,11111,0,inner_square,400,100,100,100.0,1.0,1.0,0.005643514450639486,0.3150893449783325,1.0,0.005627945996820927,0.005627946928143501,0.11409592628479004,0.39283129572868347,1.0,0.06134605407714844,0.06134605407714844,linear,3000,0.05,10,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511056.3225832,11111,1,inner_square,400,100,100,100.0,1.0,1.0,0.28604796528816223,0.3729808032512665,0.9950000047683716,0.00226570968516171,0.002265709452331066,0.015561742708086967,0.31812623143196106,1.0,0.006115902215242386,0.0061159031465649605,linear,3000,0.05,10,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511134.2885292,11111,0,original,800,100,100,100.0,1.0,1.0,0.12340717017650604,0.07163304090499878,1.0,0.012151882983744144,0.01215188018977642,0.014763947576284409,0.07222264260053635,1.0,0.006795947905629873,0.006795945577323437,linear,3000,0.05,10,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511134.2885292,11111,1,original,800,100,100,100.0,1.0,1.0,0.005776045843958855,0.07234282791614532,1.0,0.006205304525792599,0.006205307319760323,0.01580853946506977,0.0710279569029808,1.0,0.012454062700271606,0.012454063631594181,linear,3000,0.05,10,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511216.1161602,11111,0,inner_square,400,100,100,100.0,1.0,1.0,0.005643516778945923,0.3150893449783325,1.0,0.0056279506534338,0.005627947859466076,0.11409597098827362,0.3928312361240387,1.0,0.06134604662656784,0.06134604662656784,linear,3000,0.05,50,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511216.1161602,11111,1,inner_square,400,100,100,100.0,1.0,1.0,0.28604793548583984,0.3729808032512665,0.9950000047683716,0.00226571224629879,0.0022657124791294336,0.015561693347990513,0.3181261718273163,1.0,0.006115901283919811,0.006115899886935949,linear,3000,0.05,50,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511275.6615899,11111,0,original,800,100,100,100.0,1.0,1.0,0.12340714782476425,0.07163304090499878,1.0,0.012151883915066719,0.012151882983744144,0.014763948507606983,0.07222265005111694,1.0,0.006795940920710564,0.006795940920710564,linear,3000,0.05,50,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511275.6615899,11111,1,original,800,100,100,100.0,1.0,1.0,0.005835602059960365,0.07256126403808594,1.0,0.006239308509975672,0.006239306181669235,0.0157956313341856,0.07109323143959045,1.0,0.012334094382822514,0.012334087863564491,linear,3000,0.05,50,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511295.1007047,11111,0,inner_square,400,100,100,100.0,1.0,1.0,0.005643515381962061,0.3150893449783325,1.0,0.005627948325127363,0.005627946928143501,0.11409593373537064,0.3928312659263611,1.0,0.06134605407714844,0.06134605407714844,linear,3000,0.05,100,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511295.1007047,11111,1,inner_square,400,100,100,100.0,1.0,1.0,0.28604796528816223,0.37298089265823364,0.9950000047683716,0.0022657085210084915,0.0022657078225165606,0.015561659820377827,0.3181261420249939,1.0,0.006115898489952087,0.006115901283919811,linear,3000,0.05,100,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511312.5012279,11111,0,original,800,100,100,100.0,1.0,1.0,0.12340717017650604,0.07163304835557938,1.0,0.012151883915066719,0.012151882983744144,0.014763986691832542,0.07222264260053635,1.0,0.006795954890549183,0.006795953493565321,linear,3000,0.05,100,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511312.5012279,11111,1,original,800,100,100,100.0,1.0,1.0,0.0057816156186163425,0.07238691300153732,1.0,0.006267206743359566,0.00626720767468214,0.01573862135410309,0.07110969722270966,1.0,0.012094875797629356,0.012094872072339058,linear,3000,0.05,100,False,mean,False,False,True,True,both,400,True,False,0,0,0,0,100,1
1763511331.0975194,11111,0,inner_square,400,100,100,100.0,1.0,1.0,0.0063782427459955215,0.31414490938186646,1.0,0.008669617585837841,0.00866961944848299,0.08968265354633331,0.3860715627670288,1.0,0.04671914502978325,0.04671914875507355,linear,3000,0.05,1,False,mean,False,False,True,True,both,400,False,True,0,0,0,0,100,1
1763511331.0975194,11111,1,inner_square,400,100,100,100.0,1.0,1.0,0.2581669092178345,0.3911006450653076,1.0,0.0574079193174839,0.057407915592193604,0.32675701379776,0.47005775570869446,0.8025000095367432,0.19081610441207886,0.19081611931324005,linear,3000,0.05,1,False,mean,False,False,True,True,both,400,False,True,0,0,0,0,100,1
1763511345.0820255,11111,0,original,800,100,100,100.0,1.0,1.0,0.1383247971534729,0.09720674157142639,1.0,0.041961804032325745,0.04196178913116455,0.07906025648117065,0.11120717972517014,1.0,0.03595860302448273,0.035958606749773026,linear,3000,0.05,1,False,mean,False,False,True,True,both,400,False,True,0,0,0,0,100,1
