seed,method,cl_eps,train_accuracy,test_accuracy,train_cl_loss,train_actn_loss,test_cl_loss,test_actn_loss,mse,mse_sem,emd,emd_sem,cost_cos,cost_cos_sem,base_emd,base_emd_sem,base_cost_cos,base_cost_cos_sem
12387,das,4.0,0.9615599999999987,0.96,0.029661103956401324,0.36789892554283127,0.032198044820688665,0.36655154824256897,0.014550966024398804,3.48468999077933e-10,24.29983024597168,0.12004551391539707,0.0167830903083086,9.988668675468726e-05,6.884837532043457,0.05834494791043069,0.00460363868623972,5.508060967776654e-05
12387,das,3.0,0.963919999999999,0.95,0.03184150499105452,0.36081861627101913,0.03430298296734691,0.3550417833030224,0.015501191653311253,1.862645149230957e-10,25.380258560180664,0.1250449497633141,0.017599161341786386,0.00010641239760631254,6.884837532043457,0.05834494791043069,0.00460363868623972,5.508060967776654e-05
12387,das,2.0,0.9643199999999991,0.96,0.03487016902118921,0.3559376920461655,0.03616770054213703,0.345737986266613,0.016346125677227975,4.5625301874860716e-10,26.38466033935547,0.12959644670066378,0.018299516290426254,0.00010359074747732512,6.884837532043457,0.05834494791043069,0.00460363868623972,5.508060967776654e-05
12387,das,1.0,0.9662399999999991,0.96,0.039268649376928796,0.35070092999935126,0.0409234466496855,0.34136408753693104,0.018500082194805145,8.33000234328132e-10,29.108624267578126,0.139330888599638,0.02017049230635166,0.00011223597226150007,6.884837532043457,0.05834494791043069,0.00460363868623972,5.508060967776654e-05
12387,das,0.5,0.9663999999999991,0.96,0.04196958415210248,0.34896634256839754,0.04362402809783816,0.33836500719189644,0.01972379945218563,3.725290298461914e-10,30.419588470458983,0.1355558089445004,0.02106321007013321,0.00011672111689504625,6.884837532043457,0.05834494791043069,0.00460363868623972,5.508060967776654e-05
12387,das,0.0,0.966519999999999,0.96,0.044836714521050494,0.3481122058629989,0.04646500921808183,0.34066769294440746,0.021008293330669402,7.450580596923826e-10,31.578656005859376,0.13052002465504628,0.02186981476843357,0.00012324156480358596,6.884837532043457,0.05834494791043069,0.00460363868623972,5.508060967776654e-05
24732,das,4.0,0.9607199999999986,0.97,0.029529687963426133,0.36801393961906487,0.03133527678437531,0.34634945169091225,0.014165483973920345,2.2812650937430358e-10,24.077819442749025,0.11585762278775416,0.016794565692543985,9.329692168298054e-05,6.857448863983154,0.08904476260301171,0.004762862622737884,0.00015815416854880347
24732,das,3.0,0.9627999999999988,0.97,0.03172863411158324,0.36236911964416496,0.033898719819262624,0.35689802095294,0.015324519574642181,3.725290298461914e-10,25.72120246887207,0.11352578394511495,0.01792886294424534,7.805993818779242e-05,6.857448863983154,0.08904476260301171,0.004762862622737884,0.00015815416854880347
24732,das,2.0,0.9640399999999989,0.96,0.03468981396406891,0.3560584304332734,0.0365059282630682,0.33583512157201767,0.016506147384643555,4.5625301874860716e-10,27.04903373718262,0.11052632428123618,0.0188950315117836,6.515288836587006e-05,6.857448863983154,0.08904476260301171,0.004762862622737884,0.00015815416854880347
24732,das,1.0,0.967199999999999,0.96,0.038940586976706965,0.35254669415950773,0.04097504750825465,0.3375937957316637,0.018530146032571793,4.5625301874860716e-10,29.477180099487306,0.10280031770725799,0.02055972032248974,5.5121318147435184e-05,6.857448863983154,0.08904476260301171,0.004762862622737884,0.00015815416854880347
24732,das,0.5,0.967559999999999,0.96,0.041454276338219645,0.35145638859272,0.04341296129859984,0.3342454619705677,0.019632503762841223,3.725290298461914e-10,30.572415161132813,0.09069005642495068,0.02134532816708088,5.230998909818513e-05,6.857448863983154,0.08904476260301171,0.004762862622737884,0.00015815416854880347
24732,das,0.0,0.9670799999999989,0.96,0.044268129572272295,0.35231580424308767,0.046147093176841736,0.33604343980550766,0.020868069678544997,4.5625301874860716e-10,31.6252742767334,0.0885622755118371,0.02210214510560036,4.358944132136636e-05,6.857448863983154,0.08904476260301171,0.004762862622737884,0.00015815416854880347
37077,das,4.0,0.9623999999999987,0.96,0.029660610921680933,0.36713198423385607,0.03081380925141275,0.354114405810833,0.013929854892194272,3.48468999077933e-10,23.508481979370117,0.16991171962583068,0.016075624525547026,0.00013008569585313558,6.9529032707214355,0.05795171427307448,0.004754983074963093,0.00011153169805326419
37077,das,3.0,0.9646799999999989,0.96,0.03187204379588363,0.3603911842107774,0.03324071271345019,0.3477945849299431,0.015027236007153989,3.48468999077933e-10,24.841132736206056,0.17832133536875205,0.01706899590790272,0.00013551766487964042,6.9529032707214355,0.05795171427307448,0.004754983074963093,0.00011153169805326419
37077,das,2.0,0.9655199999999988,0.96,0.034889355868101095,0.3549380934238436,0.03625923627987504,0.3417024854570627,0.01639551967382431,4.5625301874860716e-10,26.577608108520508,0.1811634701164184,0.018299882486462592,0.00014143289196260332,6.9529032707214355,0.05795171427307448,0.004754983074963093,0.00011153169805326419
37077,das,1.0,0.9661199999999989,0.96,0.039094404660165324,0.3510874900817876,0.04048307309858501,0.33790665306150913,0.018308982625603674,6.96937998155866e-10,28.907564544677733,0.18919877004297778,0.0199010256677866,0.00016075727152540896,6.9529032707214355,0.05795171427307448,0.004754983074963093,0.00011153169805326419
