run_id,seed,task_num,task_division,n_samples,min_class_count,max_class_count,mean_class_count,class_trn_acc,class_val_acc,cl_loss,actn_loss,actn_acc,emd,row_emd,cross_cl_loss,cross_actn_loss,cross_actn_acc,cross_emd,cross_row_emd,mtx_type,n_epochs,lr,cl_eps,shuffle_empty,method,incl_extra,calc_loss_in_aligned_basis,detach_cl_vecs,cl_1d,cl_loss_type,early_stop_patience,fig_every,rot_dtype,incl_cl_loss,incl_actn_loss,extra_dims,dupl_rank,zero_rank,cov_strength,n_samples_per_class,mask_dims
1764027871.0097957,11111,0,inner_square,400,100,100,100.0,1.0,1.0,0.000705634942278266,0.14179323613643646,1.0,4.258855819702148,0.006660310551524162,0.008487628772854805,0.1658763885498047,0.9925000071525574,3.5930638313293457,0.004311433993279934,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,True,False,16,0,0,0,100,1
1764027871.0097957,11111,1,inner_square,400,100,100,100.0,1.0,1.0,0.18064628541469574,0.1678326427936554,0.9950000047683716,3.5849552154541016,0.00652019027620554,0.018373144790530205,0.1662038266658783,0.9825000166893005,4.283937454223633,0.028280574828386307,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,True,False,16,0,0,0,100,1
1764027887.9166846,11111,0,og_noholdouts,1000,100,100,100.0,1.0,1.0,0.10063839703798294,0.06832317262887955,1.0,3.5722744464874268,0.004225455224514008,0.005321783479303122,0.0675022155046463,1.0,3.497667074203491,0.00931721180677414,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,True,False,16,0,0,0,100,1
1764027887.9166846,11111,1,og_noholdouts,1000,100,100,100.0,1.0,1.0,0.10489706695079803,0.08671440184116364,0.9980000257492065,3.506267547607422,0.013607135973870754,0.008631083182990551,0.0874585509300232,0.9990000128746033,3.5864553451538086,0.008619258180260658,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,True,False,16,0,0,0,100,1
1764027904.3992918,11111,0,og_holdouts,800,100,100,100.0,0.999218761920929,1.0,0.13321419060230255,0.07816499471664429,1.0,3.7162423133850098,0.014406651258468628,0.005499439314007759,0.10866829007863998,0.9962499737739563,3.7143917083740234,0.009181613102555275,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,True,False,16,0,0,0,100,1
1764027904.3992918,11111,1,og_holdouts,800,100,100,100.0,0.999218761920929,1.0,0.0005764583474956453,0.09711034595966339,1.0,3.696695566177368,0.006478071212768555,0.004208879545331001,0.06919527798891068,1.0,3.7055954933166504,0.011564802378416061,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,True,False,16,0,0,0,100,1
1764027919.8042946,11111,0,xor,200,100,100,100.0,1.0,1.0,0.0004960909718647599,0.0067887441255152225,1.0,4.035207748413086,0.0007320622680708766,0.0034137952607125044,0.06392470002174377,1.0,3.4442033767700195,0.0010943475645035505,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,True,False,16,0,0,0,100,1
1764027919.8042946,11111,1,xor,200,100,100,100.0,1.0,1.0,0.00047797439037822187,0.06520340591669083,0.9950000047683716,3.440906524658203,0.0007957181660458446,0.00363920908421278,0.006898659281432629,1.0,4.043190956115723,0.0009099079761654139,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,True,False,16,0,0,0,100,1
1764027934.7812312,11111,0,inner_square,400,100,100,100.0,1.0,1.0,0.2350982278585434,0.10531657189130783,1.0,11.324892044067383,0.3086443841457367,0.5057579874992371,0.2334957718849182,0.9350000023841858,9.561861991882324,0.23899014294147491,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,False,True,16,0,0,0,100,1
1764027934.7812312,11111,1,inner_square,400,100,100,100.0,1.0,1.0,0.3405921161174774,0.11466269195079803,1.0,8.630123138427734,0.117801234126091,0.18409928679466248,0.19052791595458984,0.9449999928474426,10.283102035522461,0.20187358558177948,linear,3000,0.025,50,False,mean,False,False,True,True,both,400,inf,float,False,True,16,0,0,0,100,1
